,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
FV,99.8181818181818,150.409090909091,65.0454545454546,84.8181818181818,365.727272727273,128.681818181818,209.681818181818,182.363636363636,264.136363636364,196.363636363636,27.9545454545455,292.681818181818,276.090909090909,289.045454545455,285.909090909091,112.136363636364,94.4090909090909,183.045454545455,55.6363636363636,28.4545454545455,44.5454545454546,23.8181818181818,31.5454545454545,63.5909090909091,126.863636363636,887.318181818182,1033.40909090909,983.909090909091,906.954545454546,333.636363636364,241.272727272727,64.0909090909091,113.5,189.954545454545,19.4090909090909,65.3181818181818,128.409090909091,12.9090909090909,71.4090909090909,16.1363636363636,33.4090909090909,65.7272727272727,34.8181818181818,61.6818181818182
CL,98.8636363636364,177.045454545455,61.2727272727273,73,295.772727272727,114.545454545455,211.454545454545,214.318181818182,380.136363636364,264.5,309.954545454545,22.1818181818182,149.681818181818,234.5,231.818181818182,110.545454545455,110.772727272727,185.318181818182,73.7272727272727,62.8636363636364,62.5909090909091,30.7272727272727,20.3636363636364,53.0909090909091,127.090909090909,608.272727272727,602.409090909091,603.863636363636,499.909090909091,160.954545454545,138.909090909091,64.2272727272727,85.5454545454546,149.818181818182,23.2272727272727,66.9090909090909,167.954545454545,26.2272727272727,124.863636363636,21.1818181818182,38.8181818181818,52.0454545454546,27.7272727272727,77.5454545454546
SL,50.9545454545455,79.7272727272727,31.3181818181818,33.6818181818182,218.909090909091,55.5,147.590909090909,234.863636363636,360.090909090909,313.545454545455,280.863636363636,165.272727272727,15.1818181818182,144.318181818182,212.5,100.363636363636,105.363636363636,156.181818181818,44.2272727272727,21.7272727272727,25.8636363636364,13.2727272727273,8.13636363636364,30.3636363636364,56.5454545454545,741.681818181818,749.136363636364,614.045454545455,497.727272727273,144.227272727273,95.5,41.1818181818182,70.4090909090909,108.818181818182,11.3636363636364,51.1363636363636,93.0454545454546,9.5,48.8181818181818,15.7727272727273,16.9545454545455,40.7272727272727,19.4545454545455,55.5
BF,37.3181818181818,58.8636363636364,17.6363636363636,28.5909090909091,165.636363636364,40.7272727272727,134.590909090909,207.090909090909,355.863636363636,281.954545454545,285.363636363636,225.863636363636,137.863636363636,18.3181818181818,195.590909090909,104.590909090909,149.545454545455,302.454545454545,32.5,14.3181818181818,19.9545454545455,6.09090909090909,6.22727272727273,17.0454545454545,56.4545454545455,659.5,679.772727272727,581.181818181818,440.727272727273,123,82.5454545454545,34.0454545454545,56,118.136363636364,9.36363636363636,82.7727272727273,210.818181818182,6.68181818181818,27.9090909090909,13.2272727272727,20.1363636363636,24.1363636363636,11.1363636363636,124.909090909091
HY,58.8181818181818,105.909090909091,33.6363636363636,42.1363636363636,179.409090909091,62.9545454545455,148.409090909091,215.772727272727,315.272727272727,196.227272727273,285.272727272727,239.045454545455,216.318181818182,218.5,18.7727272727273,126.272727272727,261.227272727273,461.181818181818,37.6363636363636,31.9545454545455,26.2272727272727,10.4090909090909,7.40909090909091,21.6818181818182,45.5,511.818181818182,528.954545454546,418.727272727273,336.272727272727,107.136363636364,68.9545454545455,36.0454545454545,51.8636363636364,77.5909090909091,10,33.3181818181818,77.5454545454546,21.2272727272727,73.0909090909091,9.81818181818182,18.9090909090909,21.5,10.2727272727273,49.7272727272727
SH,23.2272727272727,39.5,13.2727272727273,15.9545454545455,93.3636363636364,28.1363636363636,67.7727272727273,155.545454545455,176.227272727273,112.454545454545,108.227272727273,95.4090909090909,87.6818181818182,101.818181818182,116.681818181818,9.86363636363636,85.5,205.681818181818,13.7727272727273,9.40909090909091,11.3636363636364,4.63636363636364,2.04545454545455,9.72727272727273,19.1818181818182,413.590909090909,395.545454545455,280.772727272727,243.363636363636,72.0454545454546,52.8636363636364,12.8636363636364,22.7272727272727,59.7272727272727,6.72727272727273,20.6363636363636,41.8181818181818,4.68181818181818,20.6363636363636,9.45454545454546,9.90909090909091,14.1363636363636,7.5,28.4090909090909
UC,27.1363636363636,41,16,21.7272727272727,164.863636363636,46.2272727272727,91.3181818181818,219.318181818182,245.545454545454,127.136363636364,97.8181818181818,113.136363636364,114.454545454545,148.272727272727,260.318181818182,94.8636363636364,19.4090909090909,213.909090909091,15.6818181818182,16.8636363636364,17.1363636363636,4.31818181818182,6.5,15.6818181818182,12.1363636363636,923.909090909091,822.909090909091,444.181818181818,335.363636363636,73.0909090909091,32.8181818181818,14.6818181818182,28.8181818181818,87.2272727272727,7.5,24.3636363636364,69.5,6.22727272727273,20.8181818181818,5.63636363636364,6.72727272727273,27.4545454545455,8.54545454545455,27.8181818181818
FM,41.9090909090909,91.1818181818182,51,42.3636363636364,344.772727272727,75,150.318181818182,359,385,188.318181818182,192.727272727273,186.363636363636,166.5,320,483.818181818182,226.181818181818,233.681818181818,49.4090909090909,38.5,47.0454545454546,26.2727272727273,15.2272727272727,14.8636363636364,39.8181818181818,26.9090909090909,1838.18181818182,1581.77272727273,723.954545454546,523.136363636364,110.272727272727,57.6818181818182,30.0454545454545,43.1363636363636,124.636363636364,11.1818181818182,42.1818181818182,102.863636363636,18.0454545454545,60.2272727272727,8.86363636363636,10.2727272727273,55.0454545454546,8.18181818181818,44.1818181818182
CN,29.4090909090909,43.7727272727273,24.3636363636364,23.5,173,32.4545454545455,157.409090909091,327.772727272727,372.772727272727,31.8181818181818,60.7272727272727,80.3636363636364,42.6818181818182,32.0454545454545,40.7272727272727,15,16.1363636363636,38.5909090909091,20.7727272727273,122.909090909091,347.954545454545,128.818181818182,57.3181818181818,101.727272727273,26.8181818181818,934.909090909091,1002.68181818182,618.409090909091,528.772727272727,112.818181818182,88.0909090909091,53.9090909090909,54.2272727272727,131.181818181818,25.8636363636364,8.95454545454546,12.0454545454545,62.0454545454546,427.181818181818,25.0454545454545,28.0454545454545,109.318181818182,30.9090909090909,7.36363636363636
PH,16.3181818181818,23.5454545454545,17.6818181818182,22.7272727272727,159.636363636364,22.1363636363636,142.136363636364,329.181818181818,318.909090909091,28.4090909090909,26.0454545454545,56.4545454545455,20.5,12.1818181818182,29.6818181818182,11.6363636363636,17.8181818181818,43.0909090909091,120.181818181818,24.0454545454545,144.136363636364,54.5,36.3636363636364,116.590909090909,13.1818181818182,1577.40909090909,1631.72727272727,691.409090909091,555.318181818182,126.318181818182,66.5909090909091,96.8181818181818,40.6363636363636,113.090909090909,15.8636363636364,3.72727272727273,5.68181818181818,33.9090909090909,153.545454545455,21.2272727272727,29,154.045454545455,22.4545454545455,4.63636363636364
WC,26.5,56.1363636363636,23.5909090909091,34.7272727272727,158.5,27.1818181818182,138.272727272727,288.954545454545,299.454545454545,36.5909090909091,41.0454545454545,62.8636363636364,27.6818181818182,20.7272727272727,27.5454545454545,13.1363636363636,17.0909090909091,26.5454545454545,377.227272727273,142.863636363636,21.4090909090909,79.5,47.4545454545455,153.863636363636,20.8181818181818,1350.27272727273,1374.86363636364,613.272727272727,472.363636363636,109.136363636364,66.3181818181818,50.9545454545455,42.5909090909091,87.9545454545455,26.6363636363636,9.45454545454546,6.95454545454545,75.5,282.318181818182,18.4545454545455,25.5,179,26.8181818181818,5.72727272727273
LF,9.90909090909091,9.18181818181818,9.5,13.2727272727273,92.1818181818182,11.3181818181818,66.8636363636364,166.545454545455,155,17.4090909090909,22,30.4090909090909,14.8181818181818,3.95454545454545,10.4090909090909,4.72727272727273,4.5,15.4545454545455,146.727272727273,70.9090909090909,84.5,12.4545454545455,15.2727272727273,94.3181818181818,7.09090909090909,980,936.272727272727,377.863636363636,273.818181818182,56.1363636363636,30.3636363636364,26.1818181818182,14.1363636363636,29.0454545454545,3.40909090909091,3.81818181818182,1.13636363636364,13.6363636363636,51.3181818181818,6.27272727272727,12.5454545454545,94.9090909090909,14.6363636363636,1.68181818181818
OR,10.5,17.0454545454545,10.7272727272727,10.0909090909091,70.1363636363636,9.36363636363636,52.5,108.636363636364,120.818181818182,10.2727272727273,28.0454545454545,18.5909090909091,8.09090909090909,5.86363636363636,7.31818181818182,1.68181818181818,5.45454545454545,13.1363636363636,57.2272727272727,39,45.0454545454546,23.2727272727273,16.2727272727273,75.5,4.68181818181818,809.045454545455,761.818181818182,278.227272727273,241.772727272727,39.9090909090909,30.2727272727273,30.2272727272727,14.6818181818182,31.2272727272727,4,1.04545454545455,3.09090909090909,14.2272727272727,23.9545454545455,5.40909090909091,6.13636363636364,75.4545454545455,11,0.590909090909091
RR,24.1363636363636,41.5909090909091,44.1363636363636,28.6363636363636,74.9545454545455,18.8181818181818,73.8636363636364,198.181818181818,208.318181818182,51.7727272727273,66.8181818181818,51.5909090909091,24.5909090909091,14.9545454545455,27.4090909090909,9.59090909090909,14.5,39.1818181818182,99.7727272727273,119.909090909091,158.045454545455,94.3636363636364,78.8636363636364,20.5454545454545,33.2727272727273,1178.95454545455,1312.04545454545,703.727272727273,681.545454545455,229.045454545455,121.681818181818,61,54.5909090909091,48.7272727272727,4.45454545454545,7.36363636363636,11.8636363636364,25.5909090909091,65.9545454545455,9.09090909090909,17.1818181818182,147.181818181818,23.1818181818182,6.95454545454545
OW,28.9545454545455,46.2727272727273,17.7272727272727,19.4545454545455,112.954545454545,42.4545454545455,71.6818181818182,73.2727272727273,112.5,51.3636363636364,131.045454545455,122.545454545455,56.6363636363636,55.5454545454546,44.5909090909091,19.8181818181818,16.5909090909091,27.3636363636364,24.5,12.7727272727273,17.2272727272727,8.18181818181818,4.5,34.0909090909091,17.4545454545455,1624.09090909091,1476.40909090909,1057.59090909091,833.136363636364,336.909090909091,197.727272727273,53.5,83.5,90.0909090909091,10.8181818181818,11.2727272727273,31.3181818181818,5.45454545454545,37.1818181818182,15.1818181818182,28.6363636363636,72,36.1363636363636,12.9090909090909
EM,424.136363636364,1034.36363636364,659.318181818182,813.363636363636,1278.77272727273,933.227272727273,1276.09090909091,1621.54545454545,1607.95454545455,1049.04545454545,1082.27272727273,690.045454545455,927.727272727273,825.909090909091,628.090909090909,506.545454545455,1066.04545454545,2095.45454545455,1168.95454545455,1987.90909090909,1654.40909090909,1109.81818181818,895.090909090909,1306.27272727273,1910,206.136363636364,142.772727272727,602.909090909091,620.863636363636,1126.31818181818,1772.40909090909,1309.68181818182,1652.22727272727,1356.90909090909,868.681818181818,655.454545454546,2083.45454545455,651.681818181818,879.590909090909,696.409090909091,594.090909090909,563.227272727273,1108.59090909091,1087
MT,453.136363636364,1071.22727272727,676.045454545455,724.681818181818,1029.27272727273,875.454545454546,1231.5,1357.72727272727,1300.54545454545,979.954545454546,1098.31818181818,611.454545454546,756.727272727273,727.909090909091,565.045454545455,427.454545454545,844.590909090909,1624.77272727273,1042.36363636364,1666.59090909091,1298.36363636364,859.045454545455,691.181818181818,1169.81818181818,1569.59090909091,145.136363636364,170.636363636364,221.136363636364,596.818181818182,1566.77272727273,2584.5,1897.27272727273,3007.04545454545,2031.09090909091,1178.36363636364,558,1550.54545454545,541.318181818182,836.363636363636,948.590909090909,808.136363636364,601.136363636364,1635.68181818182,763.727272727273
PL,400.318181818182,776.727272727273,371.272727272727,425.681818181818,918.909090909091,468.863636363636,822.090909090909,867.545454545455,958.090909090909,645.590909090909,801.045454545455,572.5,500.363636363636,476.954545454545,348.409090909091,240,355.136363636364,630.454545454546,482.363636363636,539.363636363636,496.363636363636,294.681818181818,212.863636363636,527.636363636364,955.909090909091,841,345.636363636364,161.818181818182,459.181818181818,1589.72727272727,2023.04545454545,1348.5,2669.27272727273,1469.59090909091,723.681818181818,256.590909090909,708.954545454546,281.636363636364,543.636363636364,498.590909090909,501.318181818182,1563.63636363636,885.818181818182,376.409090909091
CC,310,681.590909090909,370.136363636364,454.636363636364,724.045454545455,543.5,819.181818181818,863.090909090909,742.318181818182,559.681818181818,814.818181818182,438.727272727273,420.863636363636,392.181818181818,306.227272727273,227.272727272727,304.772727272727,483.181818181818,459.590909090909,479.181818181818,387.909090909091,237.318181818182,204.681818181818,552.045454545454,818,628.772727272727,615.772727272727,443.181818181818,92.7727272727273,812.454545454546,1313.40909090909,959.272727272727,1734.18181818182,990.954545454546,601.181818181818,227.090909090909,602.636363636364,268.818181818182,517.136363636364,475,501.863636363636,639.454545454545,749.090909090909,258.727272727273
16,166.636363636364,193.181818181818,100.590909090909,160.954545454545,394,244.272727272727,385.681818181818,435.090909090909,342.409090909091,234.136363636364,309.590909090909,148.681818181818,135.090909090909,115.136363636364,99.2727272727273,72.8636363636364,60.2727272727273,105.727272727273,95.4545454545455,111.272727272727,86.6363636363636,49.7727272727273,37.7727272727273,199.5,331.045454545455,1144.90909090909,1568.22727272727,1893.04545454545,887.318181818182,40.3636363636364,322.681818181818,415.272727272727,863.772727272727,366.727272727273,175.636363636364,65.6818181818182,127.090909090909,67.9545454545455,151.636363636364,133.818181818182,149.045454545455,261.863636363636,261.818181818182,56
24,165.409090909091,169,52.2272727272727,106.954545454545,311.454545454545,148.136363636364,242,317.090909090909,290.863636363636,142.318181818182,225.772727272727,136.227272727273,88.9090909090909,73.1363636363636,62.0454545454546,50.7727272727273,32.0909090909091,56.4545454545455,72.8636363636364,59.0909090909091,56.0454545454545,26.8181818181818,28.1363636363636,110.318181818182,199.5,1522.5,2135.81818181818,2372.13636363636,1338.95454545455,330.045454545455,49.2727272727273,325.636363636364,896.409090909091,357.136363636364,174.681818181818,29.0454545454545,78.3636363636364,37.0454545454545,124.636363636364,108.863636363636,153.045454545455,223.636363636364,251.909090909091,33.7272727272727
GP,41.1818181818182,64.8181818181818,34.3181818181818,42.2727272727273,141.318181818182,47.2727272727273,78.9090909090909,159.818181818182,165.590909090909,68.5,61.6363636363636,60.1818181818182,38.8181818181818,30.3181818181818,31.2272727272727,12.0454545454545,13.7727272727273,30.5909090909091,45.5,54.7272727272727,50.1818181818182,15.4545454545455,20.0909090909091,44.8181818181818,57.9545454545455,1169.27272727273,1516.31818181818,1543.81818181818,872.045454545455,415.818181818182,358.863636363636,30.9090909090909,182.181818181818,85.3181818181818,75,16.0454545454545,51.3636363636364,14.3181818181818,53.6363636363636,50.5454545454546,76.6363636363636,123.272727272727,155.545454545455,27.6818181818182
BP,68.9090909090909,119.5,36.2272727272727,46.9090909090909,124.045454545455,52.9545454545455,99.0454545454545,132.363636363636,148.545454545455,94.6818181818182,109.863636363636,91.5454545454545,66.8636363636364,53.2272727272727,43.2272727272727,27.3181818181818,27.7272727272727,40.8181818181818,48.2272727272727,39.2272727272727,41.9545454545455,16.0909090909091,13.0454545454545,48.9090909090909,100.090909090909,1432.63636363636,1942.68181818182,3245.68181818182,1564.90909090909,810.045454545455,890.090909090909,172.090909090909,64.4090909090909,173.954545454545,138.545454545455,16.3181818181818,56.6363636363636,25.5,79.0454545454545,103.136363636364,150.318181818182,107.227272727273,199.818181818182,23.6818181818182
DC,105.318181818182,180.181818181818,75.7272727272727,61,171.590909090909,70.9090909090909,137.181818181818,169.863636363636,198.272727272727,162.5,195.636363636364,154,109,123.454545454545,77.2727272727273,64.2727272727273,87.8181818181818,119.272727272727,130.636363636364,114.409090909091,85.1818181818182,29.6363636363636,29.0454545454545,48.1363636363636,104.227272727273,1283.95454545455,1762.04545454545,1707.04545454545,954.045454545454,362.090909090909,374.954545454545,96.0909090909091,195.954545454545,32.6818181818182,47.8181818181818,54.4545454545455,162.136363636364,84.4090909090909,144.227272727273,94.5,175.590909090909,192,324.863636363636,66
CM,16.5909090909091,31.8181818181818,7.54545454545455,7.77272727272727,39.2727272727273,12.0454545454545,24,65.9545454545455,111.181818181818,11.8181818181818,16.8636363636364,19.1818181818182,10.0454545454545,9.81818181818182,8.18181818181818,6.5,6.59090909090909,9.09090909090909,29.0909090909091,16.1363636363636,26.2272727272727,4.63636363636364,2.77272727272727,5.86363636363636,11.6818181818182,837,1038.54545454545,824.772727272727,575.636363636364,182.5,166.727272727273,71.5454545454545,135.227272727273,46.0909090909091,11.3636363636364,2.45454545454545,23.1363636363636,8.54545454545455,28.2272727272727,21.5909090909091,70.8636363636364,99.0454545454545,123.181818181818,3.81818181818182
CV,10.1363636363636,10.5909090909091,7.22727272727273,9,57.4090909090909,14.4545454545455,29.4545454545455,87.2272727272727,100.318181818182,117.590909090909,64.2272727272727,65.2727272727273,48.1818181818182,85.9545454545455,30.8636363636364,24.3181818181818,27.1818181818182,41.6363636363636,10.2727272727273,4.04545454545455,8.95454545454546,1.81818181818182,2.68181818181818,7.36363636363636,9.86363636363636,545.136363636364,537.636363636364,311.727272727273,251.636363636364,68.2272727272727,29.3636363636364,16.6818181818182,17.0454545454545,53.7272727272727,1.5,7.36363636363636,129.136363636364,1.5,5.63636363636364,2.72727272727273,7.09090909090909,19.3636363636364,4.54545454545455,105.590909090909
ED,18,36.4090909090909,22.5,18.6363636363636,136.636363636364,27.1363636363636,68.5,199.772727272727,210.909090909091,188.045454545455,131.136363636364,176.181818181818,91.9545454545455,230.5,76.9545454545455,46.2272727272727,68.1818181818182,103.363636363636,11.5909090909091,5.95454545454545,7.63636363636364,2.54545454545455,2.81818181818182,14.7272727272727,29.8181818181818,1755.40909090909,1507.45454545455,778.545454545455,640,141.454545454545,82.8636363636364,57.5909090909091,67,159.727272727273,24.4545454545455,136.454545454545,32.0454545454545,2.68181818181818,18.3636363636364,18,14.0454545454545,123.818181818182,23.2727272727273,42.7727272727273
