,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB","WD"
"CL"," 81 "," 150 "," 56 "," 77 "," 287 "," 114 "," 232 "," 228 "," 380 "," 265 "," 270 "," 9 "," 129 "," 200 "," 222 "," 106 "," 105 "," 195 "," 67 "," 65 "," 65 "," 27 "," 21 "," 67 "," 100 "," 533 "," 451 "," 495 "," 403 "," 134 "," 111 "," 62 "," 87 "," 135 "," 21 "," 61 "," 203 "," 23 "," 108 "," 19 "," 27 "," 37 "," 32 "," 13 "
"SL"," 47 "," 64 "," 28 "," 33 "," 161 "," 43 "," 123 "," 229 "," 342 "," 274 "," 234 "," 134 "," 11 "," 113 "," 158 "," 75 "," 86 "," 161 "," 36 "," 24 "," 29 "," 7 "," 9 "," 18 "," 36 "," 605 "," 566 "," 452 "," 381 "," 97 "," 76 "," 33 "," 67 "," 97 "," 6 "," 46 "," 117 "," 6 "," 40 "," 8 "," 16 "," 28 "," 13 "," 5 "
"BF"," 35 "," 53 "," 17 "," 18 "," 155 "," 48 "," 125 "," 202 "," 354 "," 245 "," 276 "," 204 "," 111 "," 11 "," 179 "," 118 "," 127 "," 244 "," 30 "," 14 "," 18 "," 6 "," 4 "," 14 "," 42 "," 508 "," 566 "," 421 "," 327 "," 87 "," 60 "," 25 "," 47 "," 103 "," 14 "," 75 "," 240 "," 7 "," 22 "," 6 "," 11 "," 13 "," 10 "," 10 "
"HY"," 51 "," 89 "," 32 "," 24 "," 144 "," 51 "," 129 "," 237 "," 292 "," 165 "," 268 "," 222 "," 160 "," 191 "," 10 "," 117 "," 198 "," 358 "," 32 "," 26 "," 24 "," 9 "," 7 "," 19 "," 38 "," 356 "," 355 "," 276 "," 234 "," 72 "," 50 "," 22 "," 40 "," 56 "," 6 "," 30 "," 95 "," 13 "," 43 "," 10 "," 13 "," 15 "," 10 "," 5 "
"SH"," 24 "," 35 "," 7 "," 10 "," 99 "," 20 "," 66 "," 170 "," 218 "," 112 "," 112 "," 100 "," 75 "," 111 "," 110 "," 6 "," 75 "," 174 "," 16 "," 9 "," 13 "," 4 "," 2 "," 11 "," 20 "," 388 "," 337 "," 221 "," 188 "," 50 "," 36 "," 11 "," 26 "," 63 "," 9 "," 18 "," 49 "," 5 "," 16 "," 6 "," 6 "," 7 "," 7 "," 2 "
"UC"," 19 "," 32 "," 15 "," 11 "," 150 "," 25 "," 71 "," 177 "," 235 "," 128 "," 96 "," 103 "," 93 "," 138 "," 190 "," 81 "," 10 "," 176 "," 18 "," 14 "," 19 "," 4 "," 6 "," 10 "," 17 "," 615 "," 559 "," 278 "," 207 "," 51 "," 27 "," 12 "," 32 "," 68 "," 11 "," 23 "," 58 "," 4 "," 16 "," 6 "," 4 "," 17 "," 4 "," 2 "
"FM"," 45 "," 82 "," 41 "," 32 "," 346 "," 68 "," 132 "," 368 "," 507 "," 168 "," 156 "," 204 "," 151 "," 252 "," 359 "," 195 "," 189 "," 24 "," 37 "," 32 "," 23 "," 10 "," 9 "," 29 "," 21 "," 1,327 "," 1,152 "," 501 "," 385 "," 88 "," 46 "," 29 "," 35 "," 96 "," 8 "," 32 "," 90 "," 9 "," 46 "," 8 "," 10 "," 40 "," 8 "," 3 "
"CN"," 35 "," 47 "," 23 "," 15 "," 146 "," 31 "," 135 "," 269 "," 324 "," 30 "," 52 "," 67 "," 36 "," 30 "," 33 "," 19 "," 20 "," 33 "," 12 "," 105 "," 320 "," 98 "," 54 "," 102 "," 18 "," 746 "," 771 "," 431 "," 361 "," 71 "," 66 "," 42 "," 45 "," 96 "," 25 "," 7 "," 10 "," 58 "," 345 "," 14 "," 23 "," 59 "," 26 "," 0 "
"PH"," 16 "," 24 "," 17 "," 16 "," 142 "," 23 "," 108 "," 316 "," 350 "," 25 "," 30 "," 61 "," 19 "," 14 "," 23 "," 8 "," 15 "," 31 "," 115 "," 14 "," 118 "," 36 "," 25 "," 105 "," 15 "," 1,326 "," 1,304 "," 506 "," 435 "," 84 "," 53 "," 60 "," 36 "," 120 "," 21 "," 4 "," 6 "," 35 "," 119 "," 20 "," 27 "," 96 "," 20 "," 1 "
"WC"," 28 "," 35 "," 22 "," 24 "," 141 "," 30 "," 131 "," 263 "," 345 "," 30 "," 44 "," 67 "," 29 "," 16 "," 23 "," 17 "," 18 "," 24 "," 364 "," 126 "," 13 "," 60 "," 46 "," 173 "," 15 "," 1,155 "," 1,079 "," 476 "," 364 "," 84 "," 57 "," 53 "," 34 "," 91 "," 22 "," 9 "," 9 "," 65 "," 219 "," 16 "," 18 "," 112 "," 33 "," 1 "
"LF"," 14 "," 11 "," 10 "," 7 "," 94 "," 10 "," 45 "," 153 "," 178 "," 14 "," 22 "," 27 "," 6 "," 5 "," 10 "," 4 "," 4 "," 8 "," 132 "," 48 "," 75 "," 8 "," 17 "," 75 "," 6 "," 843 "," 760 "," 272 "," 227 "," 37 "," 19 "," 21 "," 12 "," 36 "," 3 "," 2 "," 2 "," 16 "," 37 "," 3 "," 7 "," 51 "," 13 "," 0 "
"OR"," 7 "," 18 "," 7 "," 9 "," 63 "," 10 "," 33 "," 106 "," 151 "," 11 "," 26 "," 22 "," 10 "," 5 "," 7 "," 3 "," 4 "," 10 "," 54 "," 31 "," 44 "," 18 "," 5 "," 65 "," 5 "," 695 "," 635 "," 205 "," 190 "," 34 "," 25 "," 23 "," 15 "," 26 "," 3 "," 1 "," 3 "," 8 "," 18 "," 5 "," 5 "," 38 "," 11 "," 0 "
"RR"," 24 "," 31 "," 32 "," 22 "," 82 "," 16 "," 71 "," 187 "," 226 "," 47 "," 56 "," 66 "," 19 "," 16 "," 17 "," 13 "," 8 "," 30 "," 90 "," 101 "," 172 "," 74 "," 68 "," 12 "," 34 "," 1,003 "," 1,074 "," 541 "," 510 "," 160 "," 98 "," 58 "," 46 "," 52 "," 6 "," 8 "," 13 "," 16 "," 53 "," 10 "," 9 "," 78 "," 21 "," 0 "
"OW"," 24 "," 44 "," 14 "," 17 "," 87 "," 36 "," 66 "," 64 "," 109 "," 46 "," 123 "," 105 "," 32 "," 48 "," 40 "," 19 "," 14 "," 22 "," 17 "," 13 "," 15 "," 6 "," 4 "," 31 "," 11 "," 1,243 "," 1,017 "," 703 "," 494 "," 171 "," 114 "," 38 "," 68 "," 61 "," 11 "," 7 "," 26 "," 4 "," 37 "," 8 "," 16 "," 32 "," 14 "," 1 "
"EM"," 253 "," 756 "," 535 "," 552 "," 949 "," 588 "," 947 "," 1,046 "," 1,190 "," 622 "," 762 "," 549 "," 701 "," 603 "," 418 "," 459 "," 678 "," 1,484 "," 878 "," 1,569 "," 1,359 "," 915 "," 733 "," 965 "," 1,401 "," 142 "," 119 "," 471 "," 478 "," 960 "," 1,531 "," 1,127 "," 1,387 "," 1,091 "," 590 "," 529 "," 1,914 "," 417 "," 693 "," 487 "," 442 "," 361 "," 817 "," 74 "
"MT"," 242 "," 749 "," 561 "," 567 "," 765 "," 568 "," 981 "," 799 "," 948 "," 636 "," 765 "," 434 "," 580 "," 591 "," 395 "," 365 "," 586 "," 1,151 "," 776 "," 1,294 "," 1,023 "," 695 "," 571 "," 926 "," 1,098 "," 133 "," 116 "," 219 "," 453 "," 1,250 "," 2,141 "," 1,606 "," 2,499 "," 1,467 "," 828 "," 446 "," 1,434 "," 368 "," 581 "," 662 "," 497 "," 389 "," 1,097 "," 52 "
"PL"," 263 "," 532 "," 294 "," 300 "," 808 "," 336 "," 638 "," 591 "," 776 "," 457 "," 591 "," 469 "," 358 "," 332 "," 226 "," 188 "," 229 "," 426 "," 343 "," 415 "," 396 "," 212 "," 159 "," 411 "," 653 "," 682 "," 318 "," 117 "," 417 "," 1,338 "," 1,860 "," 1,125 "," 2,590 "," 1,100 "," 500 "," 184 "," 610 "," 163 "," 363 "," 378 "," 294 "," 1,083 "," 563 "," 27 "
"CC"," 179 "," 475 "," 292 "," 309 "," 587 "," 358 "," 608 "," 536 "," 582 "," 361 "," 566 "," 345 "," 329 "," 287 "," 204 "," 177 "," 189 "," 355 "," 305 "," 385 "," 300 "," 194 "," 157 "," 410 "," 463 "," 428 "," 419 "," 369 "," 65 "," 782 "," 1,153 "," 740 "," 1,656 "," 651 "," 400 "," 169 "," 479 "," 168 "," 371 "," 326 "," 256 "," 393 "," 391 "," 13 "
16," 100 "," 114 "," 65 "," 108 "," 366 "," 160 "," 270 "," 256 "," 257 "," 145 "," 198 "," 137 "," 97 "," 86 "," 64 "," 45 "," 44 "," 86 "," 64 "," 83 "," 83 "," 35 "," 34 "," 138 "," 167 "," 921 "," 1,164 "," 1,564 "," 864 "," 33 "," 353 "," 339 "," 837 "," 275 "," 137 "," 44 "," 111 "," 34 "," 105 "," 97 "," 97 "," 142 "," 181 "," 4 "
